date,rolling_mean_20,rolling_sample_sd_20,rolling_zscore_20,rolling_return_21,sma_50,donchian_upper_20,donchian_lower_10,realised_vol_21,true_range,atr_14,wilder_rsi_2,wilder_rsi_14
2020-01-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9113562231263046,NaN,NaN,NaN
2020-01-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9224309449947867,NaN,100,NaN
2020-01-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6317973450062198,NaN,72.822845760052132,NaN
2020-01-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2394586730314501,NaN,55.831299048724318,NaN
2020-01-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9984741106056987,NaN,30.099937919657918,NaN
2020-01-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3897676467567806,NaN,66.583534348015561,NaN
2020-01-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85835971710211822,NaN,63.129726539523276,NaN
2020-01-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7615664888013782,NaN,89.727731637194296,NaN
2020-01-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2588370058613094,NaN,20.462905847960371,NaN
2020-01-15,NaN,NaN,NaN,NaN,NaN,NaN,99.339157321044496,NaN,2.0175505066300161,NaN,66.103965194648453,NaN
2020-01-16,NaN,NaN,NaN,NaN,NaN,NaN,99.339157321044496,NaN,1.3192982122927077,NaN,62.837606040687263,NaN
2020-01-17,NaN,NaN,NaN,NaN,NaN,NaN,100.87229985062274,NaN,0.97008310848315205,NaN,81.227305647110711,NaN
2020-01-20,NaN,NaN,NaN,NaN,NaN,NaN,100.87229985062274,NaN,0.28053353213972798,NaN,70.199436180038461,NaN
2020-01-21,NaN,NaN,NaN,NaN,NaN,NaN,100.87229985062274,NaN,1.7302956260226097,1.7349863672038757,37.753726533670189,63.220545894386298
2020-01-22,NaN,NaN,NaN,NaN,NaN,NaN,100.87229985062274,NaN,1.1422624924790767,1.6926489475806756,72.642059687933127,65.088518360563825
